,Community,Result,Year,Above 15 ppb,Above 10 ppb,Above 5 ppb,Household_income,Black_income,American_Indian_Income,Asian_income,Hawaiian_income,White_income,Hispanic_income,Total_households,Self_employed,Not_self_employed,Area in Square Miles,Summarized area in Square Miles.1,Income_to_poverty_base,Income_below_poverty_level,Ratio_households_above_poverty_level,Summarized area in Square Miles.2,Percent_white,Percent_black,Percent_native_american,Percent_asian,Percent_hawaiian,Percent_hispanic,Population 9-47 mo1,Total Screened,Percent Screened,Percentage_0-4,Percentage_5-9,Percentage_10-24,Percentage_>25,Percent_Pre-1978_Housing_Units,Percentage_>5
0,ABINGTON,0.00410774647887324,2016.0,0.04929577464788732,0.07042253521126761,0.19014084507042253,91504.21983597,0.0002899,0.0,30277.40649954,0.0,91320.3439469,33878.97509285,2218.20281083,169.63926407,2048.56354676,10.19026382,10.19011295,5418.11000842,121.36858303,15.46441179,10.19011294,89.89910815,1.67653082,0.0,3.52178865,0.0,1.94742026,689.0,519.0,75.0,99.0,0.0,0.0,0.0,66.0,0.0
1,ACTON,0.014124096385542165,2016.0,0.07917383820998279,0.13941480206540446,0.24096385542168675,136428.87934168,73595.17464821,0.0,148844.3766561,0.0,130092.47963639,27267.05194599,1946.94673945,304.3859865,1642.56075295,20.29621927,20.29735703,4761.71098502,62.22288567,32.6718269,20.29735702,67.57303616,1.58813757,0.11840401,24.8591244,0.11840401,2.99821179,738.0,509.0,69.0,98.4,1.4,0.0,0.0,58.0,1.4
2,ACUSHNET,0.004605625000000001,2016.0,0.010416666666666666,0.026041666666666668,0.03125,81612.5822536,0.0,0.0,2.658e-05,0.0,80977.83476756,4542.50437257,2501.62530947,292.06886335,2209.55644612,18.87781919,18.87551994,6547.70778904,133.22195219,16.72006058,18.86258732,89.63258171,0.01845497,0.0,1.80714391,0.0,2.2423684,276.0,246.0,89.0,97.6,0.0,0.0,0.0,71.0,0.0
3,ADAMS,0.0007646206896551724,2016.0,0.006896551724137931,0.006896551724137931,0.034482758620689655,55334.55578527,0.0,0.0,1.75e-06,0.0,55345.21164672,2766.10113714,1317.32007766,166.00434012,1151.31573754,22.96049688,22.95933508,3045.04715554,139.70970559,8.14497953,22.95933516,96.90715625,0.264077,0.04055945,0.88847474,0.0,0.75135854,229.0,205.0,90.0,95.1,3.4,0.0,0.0,91.0,0.0
4,AGAWAM,0.0017332266666666674,2018.0,0.016,0.034666666666666665,0.07466666666666667,74364.49347958,4235.62284438,0.0,5510.19066779,0.0,74802.66602747,7.96e-06,2296.70795692,159.52732235,2137.18063457,24.33448297,24.33469774,5285.86835791,160.61544898,19.64887405,23.49144886,90.82618514,1.83932269,0.04273131,1.66093272,0.0,4.21132203,845.0,602.0,71.0,99.3,0.0,0.0,0.0,67.0,0.0
5,AMHERST,0.01465894039735099,2016.2450331125829,0.23730684326710816,0.31125827814569534,0.45695364238410596,52425.43166706,16228.09018998,0.0,44381.87492997,0.0,64382.9384257,17057.80699276,2119.85390141,338.41415378,1781.43974763,27.75577246,27.75550538,4971.82994545,504.65241722,3.85292912,27.72023044,66.05591963,8.73143544,0.09802857,11.35660473,0.10585285,7.84663346,484.0,297.0,61.0,97.6,2.0,0.0,0.0,62.0,2.0
6,ARLINGTON,0.0049282277777777765,2016.5694444444443,0.06597222222222222,0.09027777777777778,0.14930555555555555,114191.62198158,7418.37153251,0.0,143967.22263903,0.0,114999.25168741,80611.97892488,2571.91391968,354.42636381,2217.73382923,5.48448053,5.48442449,5919.79057583,131.23469038,26.31549163,5.39362419,77.46139548,2.64526841,0.02272184,11.0419993,0.0,4.83050691,1796.0,1435.0,80.0,99.4,0.4,0.1,0.0,88.0,0.4
7,ASHFIELD,0.0010619718309859154,2016.0,0.014084507042253521,0.028169014084507043,0.07042253521126761,41082.4846151,0.0,0.0,3.5e-07,0.0,42209.97424799,3.6e-07,748.98214959,223.99466156,523.98751186,40.24485659,40.24568947,1765.26572386,50.97878967,7.041184,40.24568944,49.44044618,0.05155417,0.05155417,0.1546625,0.0,1.23730001,36.0,21.0,58.0,90.5,0.0,0.0,0.0,64.0,0.0
8,ASHLAND,0.005793577981651366,2016.0,0.05045871559633028,0.08027522935779817,0.12844036697247707,115893.12321541,5.297e-05,0.0,159259.01844864,0.0,112783.04209674,85465.61049653,2395.59722702,341.14055836,2054.45666866,12.87457924,12.87452542,6052.46921922,115.94626876,19.0059759,12.87452547,78.71327501,2.58632353,0.08134525,9.41538436,0.0,6.9988798,860.0,581.0,68.0,99.1,0.0,0.0,0.0,41.0,0.0
9,ATHOL,0.0,2020.0,0.0,0.0,0.0,54283.60334096,8e-08,0.0,0.0,0.0,55412.60882719,6e-08,1526.16334602,169.04110391,1357.12224211,33.3634988,33.36379831,3640.39830225,145.27603563,10.68061064,33.15444784,91.22555728,0.32218054,0.11156542,0.92596825,0.0,5.0843085,424.0,235.0,55.0,97.4,0.0,0.0,0.0,76.0,0.0
